code,name,description,category,url,public-database
XI-IATI,International Aid Transparency Initiative Organisation Identifier,XI-IATI is a list of organisation identifiers that is maintained by the IATI Secretariat. Any publisher may apply to the IATI Technical Team for an identifier to be generated.,XI,http://iatistandard.org/codelists/IATIOrganisationIdentifier/,
XI-PB,Public Bodies,Public Bodies aims to provide a unique ID for every part of every government.,XI,http://publicbodies.org/,
XM-DAC,OECD Development Assistance Committee,"See Donor, Agency, and Delivery Channel codes",XM,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,
XM-OCHA,United Nations Office for the Coordination of Humanitarian Affairs,OCHA is the part of the United Nations Secretariat responsible for bringing together humanitarian actors to ensure a coherent response to emergencies.,XM,http://www.unocha.org,
ZA-CIP,Companies and Intellectual Property Commission (CIPC),,ZA,http://www.cipro.gov.za/,
ZA-NPO,Association for Non-Profit Organisations,,ZA,http://www.npo.gov.za/,
ZA-PBO,SA Revenue Service Tax Exemption Unit / Public Benefit Organisations,,ZA,http://www.sars.gov.za/home.asp?pid=170,
ZM-NRB,Non Governmental Organisation Registration Board,,ZM,,
ZM-PCR,Patents and Companies Registration Agency,,ZM,http://www.pacra.org.zm/,
ZW-PVO,Private Voluntary Organisations Council,,ZW,,
ZW-ROD,Registrar of Deeds,,ZW,,
